frame_diff,frame_number,side,Rally,,
1,2013,right,,,
1,2014,right,,,
3,2017,right,,,
1,2018,left,,,
1,2019,left,,,
1,2020,left,,,
1,2021,left,,,
1,2022,left,,,
1,2023,left,,,
1,2032,right,,,
1,2033,right,,,
1,2034,right,,,
1,2035,right,,,
1,2036,right,,,
1,2037,right,,,
1,2038,right,,,
3,2041,right,,,
1,2042,right,,,
1,2043,right,,,
1,2044,right,,,
1,2045,left,,,
1,2046,left,,,
1,2047,left,,,
1,2048,left,,,
1,2049,left,,,
1,2050,left,,,
1,2051,left,,,
1,2052,left,,,
3,2057,left,,,
2,2059,left,,,
1,2060,left,,,
1,2062,right,,,
1,2063,right,,,
1,2064,right,,,
1,2065,right,,,
1,2066,right,,,
1,2067,right,,,
4,2071,right,,,
1,2072,right,,,
1,2073,right,,,
1,2074,left,,,
1,2075,left,,,
1,2076,left,,,
1,2077,left,,,
1,2078,left,,,
1,2079,left,,,
1,2080,left,,,
1,2081,left,,,
2,2084,left,,,
1,2085,left,,,
1,2086,left,,,
1,2087,left,,,
1,2088,left,,,
2,2091,right,,,
1,2092,right,,,
1,2093,right,,,
1,2094,right,,,
1,2095,right,,,
3,2098,right,,,
1,2099,right,,,
1,2100,right,,,
1,2101,right,,,
1,2102,left,,,
1,2103,left,,,
2,2105,left,,,
1,2106,left,,,
1,2107,left,,,
1,2108,left,,,
1,2109,left,,,
3,2112,left,,,
3,2116,left,,,
1,2118,right,,,
1,2119,right,,,
1,2120,right,,,
1,2121,right,,,
1,2122,right,,,
1,2123,right,,,
1,2124,right,,,
1,2125,right,,,
1,2126,right,,,
3,2129,right,,,
1,2130,right,,,
1,2131,right,,,
1,2132,right,,,
1,2133,right,,,
2,2135,left,,,
1,2136,left,,,
1,2137,left,,,
1,2138,left,,,
1,2139,left,,,
1,2140,left,,,
5,2145,left,,,
1,2146,left,,,
1,2148,right,,,
1,2149,right,,,
1,2150,right,,,
1,2151,right,,,
1,2152,right,,,
1,2153,right,,,
3,2156,right,,,
1,2157,right,,,
1,2158,right,,,
1,2159,right,,,
1,2160,left,,,
1,2161,left,,,
1,2162,left,,,
1,2163,left,,,
